Kalenderblatt 2020: 13. Januar (12.01.2020)
Treffen mit Gauck: Ramelow will Projekt-Gespräche mit CDU (12.01.2020)
Drei Tote in Haus in Starnberg - wohl Ehepaar und Sohn (12.01.2020)
E-Scooter-Unfälle führen oft zu Kopfverletzungen (12.01.2020)
Irak: Acht Raketen schlagen in Luftwaffenbasis ein (12.01.2020)
Proteste ohne Erfolg - Siemens liefert für Kohlebergwerk zu (12.01.2020)
Siemens hält an Lieferung für Kohlebergwerk fest (12.01.2020)
Trotz Zugeständnissen: Konflikt in Frankreich geht weiter (12.01.2020)
US-Verteidigungsminister räumt dünne Beweislage für Bedrohungen ein (12.01.2020)
Irrtümlicher Flugzeugabschuss: Neue Proteste im Iran (12.01.2020)
Real Madrid gewinnt spanischen Supercup in Saudi-Arabien (12.01.2020)
Der letzte Schrei in der Körperbemalung (12.01.2020)
Siemens hält an Zulieferung für Kohlebergwerk in Australien fest (12.01.2020)
Podolski: Fortsetzung der Karriere offen (12.01.2020)
Bericht: Tausende protestieren in Teheran wegen Flugzeugabschusses (12.01.2020)
Erste Hasel- und Erlenpollen regional unterwegs (12.01.2020)
Auf der letzten Rille aufs Podest: Peiffer lässt Fans jubeln (12.01.2020)
Siebenjährige stürzt aus Skilift - schwer verletzt (12.01.2020)
Wir sind gewarnt! (12.01.2020)
Hongkong verweigert Chef von Human Rights Watch die Einreise (12.01.2020)
Alba und Oldenburg erreichen Basketball-Pokalfinale (12.01.2020)
Irlands Premierminister kündigt Neuwahl an (12.01.2020)
Iran: Trumps unterstützende Tweets zu Demos absurd (12.01.2020)
Erneut US-Stützpunkt im Irak beschossen (12.01.2020)
Silvester-Ausschreitungen in Leipzig: Staatsanwaltschaft prüft Videos (12.01.2020)
Merkel, Macron und Johnson: Iran muss zu Atomdeal zurück (12.01.2020)
Nächster Sieg für Skispringer Karl Geiger (12.01.2020)
Motorradpilot Gonçalves stirbt bei Rallye Dakar (12.01.2020)
